AI1-02 [m/s²],AI1-05 [m/s²],AI1-08 [m/s²],AI1-11 [m/s²],AI1-14 [m/s²],label
9.98,2.29,22.95,-2.65,0.88,1
9.62,-2.39,-5.15,1.8,-3.84,1
4.15,-3.13,-28.6,1.85,-10.2,1
-8.44,6.22,-23.73,-1.11,-3.87,1
-18.79,15.21,-11.92,-0.83,-1.52,1
-20.5,25.32,22.15,1.79,-7.0,1
-25.16,29.26,46.07,0.99,-7.55,1
-25.04,24.76,52.25,-0.75,-4.85,1
-24.97,18.99,39.91,0.88,-6.89,1
-30.24,9.7,0.8,0.87,-7.65,1
-37.86,11.13,-22.71,0.19,-5.76,1
-41.46,10.9,-37.68,0.14,-7.59,1
-37.44,13.52,-34.9,-0.34,-9.69,1
-32.66,16.9,-9.72,0.7,-8.93,1
-21.39,14.67,16.99,0.45,-9.04,1
-5.05,13.64,41.44,-0.03,-10.24,1
6.99,11.51,50.29,-0.04,-10.17,1
11.8,14.25,43.21,1.09,-9.88,1
9.3,11.0,22.32,-0.42,-10.68,1
5.07,6.29,-0.98,0.88,-10.9,1
4.51,-0.79,-7.17,-1.43,-10.48,1
11.64,-9.73,-12.04,2.57,-11.25,1
28.34,-9.19,-1.42,-3.27,-11.81,1
36.3,-4.04,14.52,5.5,-11.75,1
34.38,0.37,24.89,-13.61,-12.74,1
22.59,-1.23,26.26,-32.32,-12.78,1
6.26,-6.3,17.83,17.13,-12.3,1
-9.25,-16.31,4.21,-14.85,-12.27,1
-14.63,-23.78,-10.67,2.52,-13.38,1
-11.14,-27.56,-17.7,2.97,-13.99,1
-8.09,-26.71,-16.62,-3.72,-13.2,1
-4.02,-21.56,-3.77,5.86,-12.8,1
0.13,-20.7,8.11,-3.14,-12.03,1
1.26,-14.09,13.45,-1.39,-11.81,1
0.35,-11.15,8.46,4.52,-12.83,1
0.48,-16.08,0.43,-0.57,-13.48,1
4.18,-15.92,-7.17,-1.55,-12.94,1
8.27,-15.24,-8.37,-0.32,-12.01,1
10.43,-16.72,6.34,4.85,-12.12,1
20.48,-11.45,8.26,-5.69,-12.22,1
28.65,-5.19,11.51,9.81,-12.33,1
24.97,-5.58,8.72,8.29,-12.39,1
13.38,-4.32,-4.53,-12.71,-11.89,1
6.98,-3.21,-4.44,6.34,-11.17,1
4.76,-3.47,-25.43,-1.94,-11.05,1
3.61,3.1,-32.45,-1.69,-9.86,1
